Fitting Parameters
parameter,value,error
Constant,4.421856541806459,0.91604806901432
Linear,0.7461896248840253,0.9727858988542596
Quadratic,-0.1023745917775572,0.188974003322834
Gaussian 1 Amplitude,30.866020442529777,4.229247657700824
Gaussian 1 Center,2.1978167776657043,0.006047028585141731
Gaussian 1 FWHM,0.11978717671901323,0.018321003686746225
Gaussian 2 Amplitude,28.060128420360602,2.3378985938952357
Gaussian 2 Center,2.352895866020702,0.03219155625542282
Gaussian 2 FWHM,0.3832079174072257,0.05071531304191228
Gaussian 3 Amplitude,80.00846158395092,2.0944210344404817
Gaussian 3 Center,2.7524160898955814,0.006362997925566247
Gaussian 3 FWHM,0.29567153715626254,0.012417919942065215

Fitted Curves
x_data,y_data,y_error,combined_fit,background_fit,gaussian_1_fit,gaussian_2_fit,gaussian_3_fit
3.85,9.0,3.0,5.7772392109871165,5.777239210987115,2.635737337946555e-228,1.1743859097128808e-17,2.0421477788707743e-15
3.9,9.0,3.0,5.774878537917513,5.774878537917513,2.220808123013095e-242,6.633197134499328e-19,5.805951308078556e-17
3.95,9.0,3.0,5.772005991889023,5.772005991889023,7.120914335468813e-257,3.409072266136826e-20,1.408611064491695e-18
4.0,6.0,2.449489743,5.768621572901645,5.768621572901645,8.689130117285359e-272,1.5942291335152484e-21,2.916354304296567e-20
4.05,5.0,2.236067977,5.764725280955379,5.764725280955379,4.034898884643005e-287,6.783698001978773e-23,5.152535080568788e-22
4.1,5.0,2.236067977,5.760317116050226,5.760317116050226,7.130251130893221e-303,2.6265368642200715e-24,7.768427430591354e-24
4.15,1.0,1.0,5.755397078186186,5.755397078186186,4.79456e-319,9.253408314587443e-26,9.994860847886924e-26
4.2,6.0,2.449489743,5.749965167363257,5.749965167363257,0.0,2.966341736870513e-27,1.0973669452686624e-27
4.25,6.0,2.449489743,5.7440213835814395,5.7440213835814395,0.0,8.652505204397486e-29,1.0281547345175139e-29
4.3,7.0,2.645751311,5.737565726840736,5.737565726840736,0.0,2.2964859175814408e-30,8.220468478496313e-32
4.35,5.0,2.236067977,5.730598197141143,5.730598197141143,0.0,5.546090277653621e-32,5.608750745032329e-34
4.4,3.0,1.732050808,5.723118794482664,5.723118794482664,0.0,1.2187406959542692e-33,3.2656316409613746e-36
4.45,4.0,2.0,5.715127518865295,5.715127518865295,0.0,2.436895592659381e-35,1.6225561452097114e-38
4.5,4.0,2.0,5.70662437028904,5.70662437028904,0.0,4.433674053927277e-37,6.879608986259591e-41
4.55,6.0,2.449489743,5.697609348753897,5.697609348753897,0.0,7.33992855824786e-39,2.4891969480248667e-43
4.6,10.0,3.16227766,5.688082454259865,5.688082454259865,0.0,1.1056588179528967e-40,7.685749894261999e-46
4.65,5.0,2.236067977,5.678043686806946,5.678043686806946,0.0,1.5154850817565102e-42,2.0250918177423587e-48
4.7,6.0,2.449489743,5.667493046395139,5.667493046395139,0.0,1.8900941062724352e-44,4.553388153354076e-51
4.75,10.0,3.16227766,5.656430533024445,5.656430533024445,0.0,2.1449462849937883e-46,8.73687477183027e-54
4.8,5.0,2.236067977,5.644856146694863,5.644856146694863,0.0,2.214882258111834e-48,1.430569730981092e-56
4.85,2.0,1.414213562,5.6327698874063925,5.6327698874063925,0.0,2.0810671720376453e-50,1.9989108978098983e-59
4.9,2.0,1.414213562,5.620171755159035,5.620171755159035,0.0,1.7791918610092836e-52,2.383467985758898e-62
4.95,9.0,3.0,5.607061749952789,5.607061749952789,0.0,1.3840784238705184e-54,2.425251005996217e-65
5.0,9.0,3.0,5.593439871787656,5.593439871787656,0.0,9.79715196576195e-57,2.105889344237352e-68
