Chi-squared,1.51511091,,,,,,,
Parameter,Value,Error,,,,,,
bg_a,32.70477083,3.95880628,,,,,,
bg_b,4.455616031,2.540830238,,,,,,
bg_c,-2.025033404,0.380361539,,,,,,
center_1,-0.002353106,0.004383311,,,,,,
area_1,165.9053934,5.243913948,,,,,,
FWHM_1,0.310397603,0.009969523,,,,,,
center_2,0.416494821,0.024300822,,,,,,
area_2,17.07873501,3.177434235,,,,,,
FWHM_2,0.278587676,0.051204291,,,,,,
center_3,1.015944692,0.021233864,,,,,,
area_3,8.180222698,1.811353947,,,,,,
FWHM_3,0.240844359,0.052340195,,,,,,
,,,,,,,,
x_data,y_data,yerr_data,x_fit,y_fit,y_bg,gaussian_1,gaussian_2,gaussian_3
,,,2.508073394,31.14144763,31.14144763,8.64E-77,7.72E-67,1.93E-45
,,,2.513027523,31.11314825,31.11314825,4.22E-77,3.68E-67,9.52E-46
,,,2.517981651,31.08474948,31.08474948,2.06E-77,1.75E-67,4.68E-46
,,,2.52293578,31.0562513,31.0562513,1.00E-77,8.31E-68,2.30E-46
,,,2.527889908,31.02765372,31.02765372,4.88E-78,3.94E-68,1.12E-46
,,,2.532844037,30.99895673,30.99895673,2.37E-78,1.86E-68,5.48E-47
,,,2.537798165,30.97016035,30.97016035,1.15E-78,8.81E-69,2.67E-47
,,,2.542752294,30.94126456,30.94126456,5.57E-79,4.15E-69,1.30E-47
,,,2.547706422,30.91226937,30.91226937,2.69E-79,1.96E-69,6.28E-48
,,,2.55266055,30.88317478,30.88317478,1.30E-79,9.19E-70,3.04E-48
,,,2.557614679,30.85398078,30.85398078,6.27E-80,4.31E-70,1.47E-48
,,,2.562568807,30.82468738,30.82468738,3.02E-80,2.02E-70,7.06E-49
,,,2.567522936,30.79529458,30.79529458,1.45E-80,9.43E-71,3.39E-49
,,,2.572477064,30.76580238,30.76580238,6.98E-81,4.40E-71,1.62E-49
,,,2.577431193,30.73621078,30.73621078,3.35E-81,2.05E-71,7.76E-50
,,,2.582385321,30.70651977,30.70651977,1.60E-81,9.53E-72,3.70E-50
,,,2.58733945,30.67672936,30.67672936,7.66E-82,4.42E-72,1.76E-50
,,,2.592293578,30.64683955,30.64683955,3.66E-82,2.05E-72,8.35E-51
,,,2.597247706,30.61685033,30.61685033,1.74E-82,9.48E-73,3.95E-51
,,,2.602201835,30.58676172,30.58676172,8.31E-83,4.38E-73,1.87E-51
,,,2.607155963,30.5565737,30.5565737,3.95E-83,2.02E-73,8.80E-52
,,,2.612110092,30.52628628,30.52628628,1.88E-83,9.29E-74,4.13E-52
,,,2.61706422,30.49589945,30.49589945,8.90E-84,4.26E-74,1.94E-52
,,,2.622018349,30.46541323,30.46541323,4.21E-84,1.96E-74,9.07E-53
,,,2.626972477,30.4348276,30.4348276,1.99E-84,8.95E-75,4.24E-53
,,,2.631926606,30.40414257,30.40414257,9.40E-85,4.09E-75,1.97E-53
,,,2.636880734,30.37335814,30.37335814,4.43E-85,1.86E-75,9.17E-54
,,,2.641834862,30.3424743,30.3424743,2.09E-85,8.49E-76,4.25E-54
,,,2.646788991,30.31149106,30.31149106,9.82E-86,3.86E-76,1.97E-54
,,,2.651743119,30.28040842,30.28040842,4.61E-86,1.75E-76,9.07E-55
,,,2.656697248,30.24922638,30.24922638,2.16E-86,7.93E-77,4.17E-55
,,,2.661651376,30.21794493,30.21794493,1.01E-86,3.59E-77,1.92E-55
,,,2.666605505,30.18656409,30.18656409,4.73E-87,1.62E-77,8.78E-56
,,,2.671559633,30.15508384,30.15508384,2.21E-87,7.29E-78,4.01E-56
,,,2.676513761,30.12350419,30.12350419,1.03E-87,3.28E-78,1.83E-56
,,,2.68146789,30.09182513,30.09182513,4.79E-88,1.47E-78,8.32E-57
,,,2.686422018,30.06004667,30.06004667,2.23E-88,6.60E-79,3.78E-57
,,,2.691376147,30.02816882,30.02816882,1.03E-88,2.95E-79,1.71E-57
,,,2.696330275,29.99619155,29.99619155,4.80E-89,1.32E-79,7.73E-58
,,,2.701284404,29.96411489,29.96411489,2.22E-89,5.88E-80,3.48E-58
,,,2.706238532,29.93193882,29.93193882,1.03E-89,2.61E-80,1.57E-58
,,,2.711192661,29.89966336,29.89966336,4.74E-90,1.16E-80,7.02E-59
,,,2.716146789,29.86728848,29.86728848,2.18E-90,5.15E-81,3.14E-59
,,,2.721100917,29.83481421,29.83481421,1.01E-90,2.28E-81,1.40E-59
,,,2.726055046,29.80224054,29.80224054,4.62E-91,1.01E-81,6.25E-60
,,,2.731009174,29.76956746,29.76956746,2.12E-91,4.45E-82,2.78E-60
,,,2.735963303,29.73679498,29.73679498,9.72E-92,1.96E-82,1.23E-60
,,,2.740917431,29.70392309,29.70392309,4.45E-92,8.61E-83,5.45E-61
,,,2.74587156,29.67095181,29.67095181,2.03E-92,3.78E-83,2.40E-61
,,,2.750825688,29.63788112,29.63788112,9.28E-93,1.65E-83,1.06E-61
,,,2.755779817,29.60471103,29.60471103,4.23E-93,7.24E-84,4.65E-62
,,,2.760733945,29.57144154,29.57144154,1.93E-93,3.16E-84,2.04E-62
,,,2.765688073,29.53807265,29.53807265,8.75E-94,1.38E-84,8.90E-63
,,,2.770642202,29.50460435,29.50460435,3.97E-94,5.99E-85,3.88E-63
,,,2.77559633,29.47103665,29.47103665,1.80E-94,2.60E-85,1.69E-63
,,,2.780550459,29.43736955,29.43736955,8.15E-95,1.13E-85,7.33E-64
,,,2.785504587,29.40360304,29.40360304,3.68E-95,4.88E-86,3.18E-64
,,,2.790458716,29.36973714,29.36973714,1.66E-95,2.11E-86,1.37E-64
,,,2.795412844,29.33577183,29.33577183,7.49E-96,9.08E-87,5.91E-65
,,,2.800366972,29.30170712,29.30170712,3.37E-96,3.91E-87,2.54E-65
,,,2.805321101,29.267543,29.267543,1.51E-96,1.68E-87,1.09E-65
,,,2.810275229,29.23327949,29.23327949,6.80E-97,7.21E-88,4.67E-66
,,,2.815229358,29.19891657,29.19891657,3.05E-97,3.09E-88,1.99E-66
,,,2.820183486,29.16445425,29.16445425,1.36E-97,1.32E-88,8.49E-67
,,,2.825137615,29.12989253,29.12989253,6.09E-98,5.63E-89,3.61E-67
,,,2.830091743,29.0952314,29.0952314,2.72E-98,2.40E-89,1.53E-67
,,,2.835045872,29.06047087,29.06047087,1.21E-98,1.02E-89,6.47E-68
,,,2.84,29.02561094,29.02561094,5.39E-99,4.33E-90,2.73E-68
,,,2.844954128,28.99065161,28.99065161,2.39E-99,1.83E-90,1.15E-68
,,,2.849908257,28.95559288,28.95559288,1.06E-99,7.75E-91,4.83E-69
,,,2.854862385,28.92043474,28.92043474,4.71E-100,3.27E-91,2.03E-69
,,,2.859816514,28.8851772,28.8851772,2.08E-100,1.38E-91,8.47E-70
,,,2.864770642,28.84982026,28.84982026,9.21E-101,5.81E-92,3.53E-70
,,,2.869724771,28.81436391,28.81436391,4.06E-101,2.44E-92,1.47E-70
,,,2.874678899,28.77880817,28.77880817,1.79E-101,1.02E-92,6.10E-71
,,,2.879633028,28.74315302,28.74315302,7.87E-102,4.28E-93,2.53E-71
,,,2.884587156,28.70739847,28.70739847,3.46E-102,1.79E-93,1.04E-71
,,,2.889541284,28.67154451,28.67154451,1.52E-102,7.46E-94,4.30E-72
,,,2.894495413,28.63559116,28.63559116,6.65E-103,3.10E-94,1.77E-72
,,,2.899449541,28.5995384,28.5995384,2.91E-103,1.29E-94,7.26E-73
,,,2.90440367,28.56338624,28.56338624,1.27E-103,5.35E-95,2.97E-73
,,,2.909357798,28.52713468,28.52713468,5.54E-104,2.22E-95,1.21E-73
,,,2.914311927,28.49078371,28.49078371,2.42E-104,9.17E-96,4.95E-74
,,,2.919266055,28.45433334,28.45433334,1.05E-104,3.78E-96,2.01E-74
,,,2.924220183,28.41778357,28.41778357,4.56E-105,1.56E-96,8.15E-75
,,,2.929174312,28.3811344,28.3811344,1.98E-105,6.41E-97,3.30E-75
,,,2.93412844,28.34438582,28.34438582,8.58E-106,2.63E-97,1.33E-75
,,,2.939082569,28.30753785,28.30753785,3.71E-106,1.08E-97,5.36E-76
,,,2.944036697,28.27059047,28.27059047,1.60E-106,4.41E-98,2.15E-76
,,,2.948990826,28.23354369,28.23354369,6.91E-107,1.80E-98,8.63E-77
,,,2.953944954,28.1963975,28.1963975,2.98E-107,7.35E-99,3.45E-77
,,,2.958899083,28.15915191,28.15915191,1.28E-107,2.99E-99,1.38E-77
,,,2.963853211,28.12180693,28.12180693,5.50E-108,1.21E-99,5.48E-78
,,,2.968807339,28.08436253,28.08436253,2.36E-108,4.92E-100,2.18E-78
,,,2.973761468,28.04681874,28.04681874,1.01E-108,1.99E-100,8.62E-79
,,,2.978715596,28.00917554,28.00917554,4.32E-109,8.06E-101,3.41E-79
,,,2.983669725,27.97143295,27.97143295,1.85E-109,3.25E-101,1.34E-79
,,,2.988623853,27.93359094,27.93359094,7.88E-110,1.31E-101,5.28E-80
,,,2.993577982,27.89564954,27.89564954,3.35E-110,5.26E-102,2.07E-80
,,,2.99853211,27.85760874,27.85760874,1.43E-110,2.11E-102,8.11E-81
,,,3.003486239,27.81946853,27.81946853,6.06E-111,8.46E-103,3.17E-81
,,,3.008440367,27.78122892,27.78122892,2.57E-111,3.38E-103,1.24E-81
,,,3.013394495,27.7428899,27.7428899,1.09E-111,1.35E-103,4.80E-82
,,,3.018348624,27.70445149,27.70445149,4.60E-112,5.38E-104,1.86E-82
,,,3.023302752,27.66591367,27.66591367,1.94E-112,2.14E-104,7.21E-83
,,,3.028256881,27.62727645,27.62727645,8.20E-113,8.50E-105,2.78E-83
,,,3.033211009,27.58853983,27.58853983,3.45E-113,3.37E-105,1.07E-83
,,,3.038165138,27.54970381,27.54970381,1.45E-113,1.33E-105,4.12E-84
,,,3.043119266,27.51076838,27.51076838,6.10E-114,5.26E-106,1.58E-84
,,,3.048073394,27.47173355,27.47173355,2.56E-114,2.08E-106,6.03E-85
,,,3.053027523,27.43259932,27.43259932,1.07E-114,8.17E-107,2.30E-85
,,,3.057981651,27.39336568,27.39336568,4.48E-115,3.21E-107,8.76E-86
,,,3.06293578,27.35403265,27.35403265,1.87E-115,1.26E-107,3.33E-86
,,,3.067889908,27.31460021,27.31460021,7.79E-116,4.93E-108,1.26E-86
,,,3.072844037,27.27506837,27.27506837,3.25E-116,1.93E-108,4.76E-87
,,,3.077798165,27.23543712,27.23543712,1.35E-116,7.52E-109,1.80E-87
,,,3.082752294,27.19570648,27.19570648,5.60E-117,2.93E-109,6.76E-88
,,,3.087706422,27.15587643,27.15587643,2.32E-117,1.14E-109,2.54E-88
,,,3.09266055,27.11594698,27.11594698,9.62E-118,4.42E-110,9.50E-89
,,,3.097614679,27.07591813,27.07591813,3.98E-118,1.71E-110,3.55E-89
,,,3.102568807,27.03578987,27.03578987,1.64E-118,6.63E-111,1.32E-89
,,,3.107522936,26.99556221,26.99556221,6.77E-119,2.56E-111,4.91E-90
,,,3.112477064,26.95523515,26.95523515,2.79E-119,9.86E-112,1.82E-90
,,,3.117431193,26.91480869,26.91480869,1.15E-119,3.79E-112,6.75E-91
,,,3.122385321,26.87428283,26.87428283,4.71E-120,1.46E-112,2.49E-91
,,,3.12733945,26.83365756,26.83365756,1.93E-120,5.59E-113,9.17E-92
,,,3.132293578,26.79293289,26.79293289,7.90E-121,2.14E-113,3.37E-92
,,,3.137247706,26.75210882,26.75210882,3.23E-121,8.17E-114,1.24E-92
,,,3.142201835,26.71118534,26.71118534,1.32E-121,3.12E-114,4.52E-93
,,,3.147155963,26.67016247,26.67016247,5.37E-122,1.19E-114,1.65E-93
,,,3.152110092,26.62904019,26.62904019,2.19E-122,4.51E-115,6.00E-94
,,,3.15706422,26.58781851,26.58781851,8.89E-123,1.71E-115,2.18E-94
,,,3.162018349,26.54649742,26.54649742,3.61E-123,6.48E-116,7.90E-95
,,,3.166972477,26.50507694,26.50507694,1.46E-123,2.45E-116,2.86E-95
,,,3.171926606,26.46355705,26.46355705,5.92E-124,9.24E-117,1.03E-95
,,,3.176880734,26.42193776,26.42193776,2.39E-124,3.48E-117,3.71E-96
,,,3.181834862,26.38021907,26.38021907,9.66E-125,1.31E-117,1.33E-96
,,,3.186788991,26.33840097,26.33840097,3.89E-125,4.92E-118,4.76E-97
,,,3.191743119,26.29648347,26.29648347,1.57E-125,1.84E-118,1.70E-97
,,,3.196697248,26.25446657,26.25446657,6.30E-126,6.89E-119,6.07E-98
,,,3.201651376,26.21235027,26.21235027,2.53E-126,2.57E-119,2.16E-98
,,,3.206605505,26.17013456,26.17013456,1.01E-126,9.60E-120,7.65E-99
,,,3.211559633,26.12781946,26.12781946,4.06E-127,3.57E-120,2.71E-99
,,,3.216513761,26.08540495,26.08540495,1.62E-127,1.33E-120,9.56E-100
,,,3.22146789,26.04289104,26.04289104,6.47E-128,4.92E-121,3.37E-100
,,,3.226422018,26.00027772,26.00027772,2.58E-128,1.82E-121,1.18E-100
,,,3.231376147,25.957565,25.957565,1.03E-128,6.73E-122,4.15E-101
,,,3.236330275,25.91475289,25.91475289,4.08E-129,2.48E-122,1.45E-101
,,,3.241284404,25.87184136,25.87184136,1.62E-129,9.14E-123,5.07E-102
,,,3.246238532,25.82883044,25.82883044,6.42E-130,3.36E-123,1.76E-102
,,,3.251192661,25.78572011,25.78572011,2.54E-130,1.23E-123,6.13E-103
,,,3.256146789,25.74251039,25.74251039,1.00E-130,4.52E-124,2.12E-103
,,,3.261100917,25.69920125,25.69920125,3.96E-131,1.65E-124,7.34E-104
,,,3.266055046,25.65579272,25.65579272,1.56E-131,6.03E-125,2.53E-104
,,,3.271009174,25.61228479,25.61228479,6.14E-132,2.20E-125,8.71E-105
,,,3.275963303,25.56867745,25.56867745,2.41E-132,7.99E-126,2.99E-105
,,,3.280917431,25.52497071,25.52497071,9.47E-133,2.90E-126,1.02E-105
,,,3.28587156,25.48116456,25.48116456,3.71E-133,1.05E-126,3.50E-106
,,,3.290825688,25.43725902,25.43725902,1.45E-133,3.81E-127,1.19E-106
,,,3.295779817,25.39325407,25.39325407,5.67E-134,1.38E-127,4.06E-107
,,,3.300733945,25.34914972,25.34914972,2.21E-134,4.96E-128,1.38E-107
,,,3.305688073,25.30494597,25.30494597,8.63E-135,1.78E-128,4.66E-108
,,,3.310642202,25.26064282,25.26064282,3.36E-135,6.41E-129,1.57E-108
,,,3.31559633,25.21624026,25.21624026,1.30E-135,2.30E-129,5.30E-109
,,,3.320550459,25.1717383,25.1717383,5.06E-136,8.24E-130,1.78E-109
,,,3.325504587,25.12713694,25.12713694,1.96E-136,2.94E-130,5.98E-110
,,,3.330458716,25.08243617,25.08243617,7.59E-137,1.05E-130,2.00E-110
,,,3.335412844,25.03763601,25.03763601,2.93E-137,3.74E-131,6.67E-111
,,,3.340366972,24.99273644,24.99273644,1.13E-137,1.33E-131,2.22E-111
,,,3.345321101,24.94773747,24.94773747,4.36E-138,4.72E-132,7.38E-112
,,,3.350275229,24.90263909,24.90263909,1.68E-138,1.67E-132,2.45E-112
,,,3.355229358,24.85744132,24.85744132,6.44E-139,5.92E-133,8.09E-113
,,,3.360183486,24.81214414,24.81214414,2.47E-139,2.09E-133,2.67E-113
,,,3.365137615,24.76674756,24.76674756,9.46E-140,7.36E-134,8.78E-114
,,,3.370091743,24.72125158,24.72125158,3.62E-140,2.59E-134,2.88E-114
,,,3.375045872,24.67565619,24.67565619,1.38E-140,9.10E-135,9.44E-115
,,,3.38,24.6299614,24.6299614,5.28E-141,3.19E-135,3.09E-115
,,,3.384954128,24.58416721,24.58416721,2.01E-141,1.12E-135,1.01E-115
,,,3.389908257,24.53827362,24.53827362,7.64E-142,3.90E-136,3.27E-116
,,,3.394862385,24.49228063,24.49228063,2.90E-142,1.36E-136,1.06E-116
,,,3.399816514,24.44618823,24.44618823,1.10E-142,4.74E-137,3.44E-117
,,,3.404770642,24.39999643,24.39999643,4.17E-143,1.65E-137,1.11E-117
,,,3.409724771,24.35370523,24.35370523,1.58E-143,5.71E-138,3.58E-118
,,,3.414678899,24.30731462,24.30731462,5.96E-144,1.98E-138,1.15E-118
,,,3.419633028,24.26082462,24.26082462,2.25E-144,6.84E-139,3.69E-119
,,,3.424587156,24.21423521,24.21423521,8.47E-145,2.36E-139,1.18E-119
,,,3.429541284,24.1675464,24.1675464,3.19E-145,8.13E-140,3.77E-120
,,,3.434495413,24.12075818,24.12075818,1.20E-145,2.80E-140,1.20E-120
,,,3.439449541,24.07387057,24.07387057,4.49E-146,9.60E-141,3.81E-121
,,,3.44440367,24.02688355,24.02688355,1.68E-146,3.29E-141,1.21E-121
,,,3.449357798,23.97979713,23.97979713,6.29E-147,1.13E-141,3.82E-122
,,,3.454311927,23.93261131,23.93261131,2.35E-147,3.84E-142,1.21E-122
,,,3.459266055,23.88532608,23.88532608,8.76E-148,1.31E-142,3.79E-123
,,,3.464220183,23.83794145,23.83794145,3.26E-148,4.46E-143,1.19E-123
,,,3.469174312,23.79045742,23.79045742,1.21E-148,1.51E-143,3.73E-124
,,,3.47412844,23.74287399,23.74287399,4.50E-149,5.14E-144,1.17E-124
,,,3.479082569,23.69519116,23.69519116,1.67E-149,1.74E-144,3.64E-125
,,,3.484036697,23.64740892,23.64740892,6.18E-150,5.88E-145,1.13E-125
,,,3.488990826,23.59952728,23.59952728,2.29E-150,1.98E-145,3.51E-126
,,,3.493944954,23.55154624,23.55154624,8.45E-151,6.67E-146,1.09E-126
,,,3.498899083,23.50346579,23.50346579,3.11E-151,2.24E-146,3.36E-127
,,,3.503853211,23.45528595,23.45528595,1.15E-151,7.53E-147,1.04E-127
,,,3.508807339,23.4070067,23.4070067,4.22E-152,2.52E-147,3.18E-128
,,,3.513761468,23.35862805,23.35862805,1.55E-152,8.43E-148,9.76E-129
,,,3.518715596,23.31014999,23.31014999,5.68E-153,2.82E-148,2.99E-129
,,,3.523669725,23.26157254,23.26157254,2.08E-153,9.38E-149,9.12E-130
,,,3.528623853,23.21289568,23.21289568,7.60E-154,3.12E-149,2.78E-130
,,,3.533577982,23.16411942,23.16411942,2.78E-154,1.04E-149,8.44E-131
,,,3.53853211,23.11524375,23.11524375,1.01E-154,3.43E-150,2.56E-131
,,,3.543486239,23.06626869,23.06626869,3.69E-155,1.14E-150,7.74E-132
,,,3.548440367,23.01719422,23.01719422,1.34E-155,3.75E-151,2.34E-132
,,,3.553394495,22.96802035,22.96802035,4.86E-156,1.24E-151,7.03E-133
,,,3.558348624,22.91874708,22.91874708,1.76E-156,4.07E-152,2.11E-133
,,,3.563302752,22.8693744,22.8693744,6.39E-157,1.34E-152,6.32E-134
,,,3.568256881,22.81990232,22.81990232,2.31E-157,4.39E-153,1.89E-134
,,,3.573211009,22.77033084,22.77033084,8.33E-158,1.44E-153,5.64E-135
,,,3.578165138,22.72065996,22.72065996,3.00E-158,4.70E-154,1.68E-135
,,,3.583119266,22.67088968,22.67088968,1.08E-158,1.53E-154,4.98E-136
,,,3.588073394,22.62101999,22.62101999,3.89E-159,4.99E-155,1.47E-136
,,,3.593027523,22.5710509,22.5710509,1.40E-159,1.62E-155,4.36E-137
,,,3.597981651,22.52098241,22.52098241,5.00E-160,5.27E-156,1.28E-137
,,,3.60293578,22.47081452,22.47081452,1.79E-160,1.71E-156,3.77E-138
,,,3.607889908,22.42054722,22.42054722,6.40E-161,5.52E-157,1.11E-138
,,,3.612844037,22.37018052,22.37018052,2.29E-161,1.78E-157,3.24E-139
,,,3.617798165,22.31971442,22.31971442,8.15E-162,5.75E-158,9.46E-140
,,,3.622752294,22.26914892,22.26914892,2.90E-162,1.85E-158,2.76E-140
,,,3.627706422,22.21848401,22.21848401,1.03E-162,5.94E-159,8.01E-141
,,,3.63266055,22.1677197,22.1677197,3.66E-163,1.90E-159,2.32E-141
,,,3.637614679,22.11685599,22.11685599,1.30E-163,6.09E-160,6.72E-142
,,,3.642568807,22.06589288,22.06589288,4.59E-164,1.95E-160,1.94E-142
,,,3.647522936,22.01483036,22.01483036,1.62E-164,6.21E-161,5.58E-143
,,,3.652477064,21.96366845,21.96366845,5.73E-165,1.98E-161,1.60E-143
,,,3.657431193,21.91240713,21.91240713,2.02E-165,6.28E-162,4.59E-144
,,,3.662385321,21.8610464,21.8610464,7.11E-166,1.99E-162,1.31E-144
,,,3.66733945,21.80958628,21.80958628,2.50E-166,6.31E-163,3.75E-145
,,,3.672293578,21.75802675,21.75802675,8.77E-167,2.00E-163,1.07E-145
,,,3.677247706,21.70636782,21.70636782,3.07E-167,6.30E-164,3.03E-146
,,,3.682201835,21.65460949,21.65460949,1.08E-167,1.98E-164,8.57E-147
,,,3.687155963,21.60275176,21.60275176,3.76E-168,6.24E-165,2.42E-147
,,,3.692110092,21.55079462,21.55079462,1.31E-168,1.96E-165,6.83E-148
,,,3.69706422,21.49873808,21.49873808,4.57E-169,6.14E-166,1.92E-148
,,,3.702018349,21.44658214,21.44658214,1.59E-169,1.92E-166,5.39E-149
,,,3.706972477,21.3943268,21.3943268,5.53E-170,6.00E-167,1.51E-149
,,,3.711926606,21.34197205,21.34197205,1.92E-170,1.87E-167,4.21E-150
,,,3.716880734,21.2895179,21.2895179,6.65E-171,5.82E-168,1.17E-150
,,,3.721834862,21.23696435,21.23696435,2.30E-171,1.81E-168,3.26E-151
,,,3.726788991,21.1843114,21.1843114,7.95E-172,5.60E-169,9.04E-152
,,,3.731743119,21.13155904,21.13155904,2.74E-172,1.73E-169,2.50E-152
,,,3.736697248,21.07870728,21.07870728,9.45E-173,5.36E-170,6.90E-153
,,,3.741651376,21.02575612,21.02575612,3.25E-173,1.65E-170,1.90E-153
,,,3.746605505,20.97270556,20.97270556,1.12E-173,5.09E-171,5.22E-154
,,,3.751559633,20.9195556,20.9195556,3.83E-174,1.57E-171,1.43E-154
,,,3.756513761,20.86630623,20.86630623,1.31E-174,4.80E-172,3.91E-155
,,,3.76146789,20.81295746,20.81295746,4.50E-175,1.47E-172,1.07E-155
,,,3.766422018,20.75950929,20.75950929,1.54E-175,4.50E-173,2.90E-156
,,,3.771376147,20.70596171,20.70596171,5.24E-176,1.37E-173,7.88E-157
,,,3.776330275,20.65231474,20.65231474,1.79E-176,4.19E-174,2.14E-157
,,,3.781284404,20.59856836,20.59856836,6.08E-177,1.27E-174,5.77E-158
,,,3.786238532,20.54472258,20.54472258,2.06E-177,3.87E-175,1.56E-158
,,,3.791192661,20.49077739,20.49077739,7.00E-178,1.17E-175,4.18E-159
,,,3.796146789,20.43673281,20.43673281,2.37E-178,3.55E-176,1.12E-159
,,,3.801100917,20.38258882,20.38258882,8.03E-179,1.07E-176,3.01E-160
,,,3.806055046,20.32834543,20.32834543,2.71E-179,3.23E-177,8.03E-161
,,,3.811009174,20.27400263,20.27400263,9.15E-180,9.72E-178,2.14E-161
,,,3.815963303,20.21956044,20.21956044,3.08E-180,2.92E-178,5.69E-162
,,,3.820917431,20.16501884,20.16501884,1.04E-180,8.76E-179,1.51E-162
,,,3.82587156,20.11037784,20.11037784,3.48E-181,2.62E-179,3.99E-163
,,,3.830825688,20.05563744,20.05563744,1.17E-181,7.84E-180,1.05E-163
,,,3.835779817,20.00079763,20.00079763,3.91E-182,2.34E-180,2.77E-164
,,,3.840733945,19.94585842,19.94585842,1.31E-182,6.97E-181,7.29E-165
,,,3.845688073,19.89081981,19.89081981,4.37E-183,2.07E-181,1.91E-165
,,,3.850642202,19.8356818,19.8356818,1.46E-183,6.15E-182,4.99E-166
,,,3.85559633,19.78044439,19.78044439,4.86E-184,1.82E-182,1.30E-166
,,,3.860550459,19.72510757,19.72510757,1.62E-184,5.39E-183,3.39E-167
,,,3.865504587,19.66967135,19.66967135,5.37E-185,1.59E-183,8.80E-168
,,,3.870458716,19.61413573,19.61413573,1.78E-185,4.69E-184,2.28E-168
,,,3.875412844,19.55850071,19.55850071,5.90E-186,1.38E-184,5.90E-169
,,,3.880366972,19.50276628,19.50276628,1.95E-186,4.05E-185,1.52E-169
,,,3.885321101,19.44693245,19.44693245,6.44E-187,1.19E-185,3.91E-170
,,,3.890275229,19.39099922,19.39099922,2.13E-187,3.48E-186,1.00E-170
,,,3.895229358,19.33496659,19.33496659,7.00E-188,1.02E-186,2.57E-171
,,,3.900183486,19.27883455,19.27883455,2.30E-188,2.96E-187,6.56E-172
,,,3.905137615,19.22260311,19.22260311,7.56E-189,8.62E-188,1.67E-172
,,,3.910091743,19.16627227,19.16627227,2.48E-189,2.51E-188,4.25E-173
,,,3.915045872,19.10984203,19.10984203,8.12E-190,7.27E-189,1.08E-173
,,,3.92,19.05331238,19.05331238,2.66E-190,2.11E-189,2.73E-174
,,,3.924954128,18.99668334,18.99668334,8.67E-191,6.09E-190,6.89E-175
,,,3.929908257,18.93995489,18.93995489,2.83E-191,1.76E-190,1.74E-175
,,,3.934862385,18.88312703,18.88312703,9.21E-192,5.06E-191,4.36E-176
,,,3.939816514,18.82619978,18.82619978,3.00E-192,1.46E-191,1.09E-176
,,,3.944770642,18.76917312,18.76917312,9.73E-193,4.18E-192,2.73E-177
,,,3.949724771,18.71204706,18.71204706,3.15E-193,1.20E-192,6.82E-178
,,,3.954678899,18.6548216,18.6548216,1.02E-193,3.42E-193,1.70E-178
,,,3.959633028,18.59749674,18.59749674,3.30E-194,9.78E-194,4.22E-179
,,,3.964587156,18.54007247,18.54007247,1.07E-194,2.79E-194,1.04E-179
,,,3.969541284,18.4825488,18.4825488,3.44E-195,7.93E-195,2.58E-180
,,,3.974495413,18.42492573,18.42492573,1.11E-195,2.25E-195,6.37E-181
,,,3.979449541,18.36720326,18.36720326,3.56E-196,6.39E-196,1.57E-181
,,,3.98440367,18.30938138,18.30938138,1.14E-196,1.81E-196,3.84E-182
,,,3.989357798,18.2514601,18.2514601,3.67E-197,5.11E-197,9.41E-183
,,,3.994311927,18.19343942,18.19343942,1.17E-197,1.44E-197,2.30E-183
,,,3.999266055,18.13531934,18.13531934,3.75E-198,4.06E-198,5.61E-184
,,,4.004220183,18.07709985,18.07709985,1.20E-198,1.14E-198,1.36E-184
,,,4.009174312,18.01878097,18.01878097,3.82E-199,3.20E-199,3.31E-185
,,,4.01412844,17.96036268,17.96036268,1.22E-199,8.97E-200,8.00E-186
,,,4.019082569,17.90184498,17.90184498,3.87E-200,2.51E-200,1.93E-186
,,,4.024036697,17.84322789,17.84322789,1.23E-200,7.00E-201,4.65E-187
,,,4.028990826,17.78451139,17.78451139,3.89E-201,1.95E-201,1.12E-187
,,,4.033944954,17.72569549,17.72569549,1.23E-201,5.43E-202,2.68E-188
,,,4.038899083,17.66678019,17.66678019,3.89E-202,1.51E-202,6.41E-189
,,,4.043853211,17.60776548,17.60776548,1.23E-202,4.18E-203,1.53E-189
,,,4.048807339,17.54865138,17.54865138,3.88E-203,1.16E-203,3.64E-190
,,,4.053761468,17.48943787,17.48943787,1.22E-203,3.19E-204,8.65E-191
,,,4.058715596,17.43012496,17.43012496,3.84E-204,8.80E-205,2.05E-191
,,,4.063669725,17.37071264,17.37071264,1.20E-204,2.42E-205,4.85E-192
,,,4.068623853,17.31120093,17.31120093,3.77E-205,6.66E-206,1.14E-192
,,,4.073577982,17.25158981,17.25158981,1.18E-205,1.83E-206,2.69E-193
,,,4.07853211,17.19187929,17.19187929,3.69E-206,5.00E-207,6.32E-194
,,,4.083486239,17.13206937,17.13206937,1.15E-206,1.37E-207,1.48E-194
,,,4.088440367,17.07216004,17.07216004,3.59E-207,3.73E-208,3.46E-195
,,,4.093394495,17.01215131,17.01215131,1.12E-207,1.02E-208,8.05E-196
,,,4.098348624,16.95204318,16.95204318,3.48E-208,2.76E-209,1.87E-196
,,,4.103302752,16.89183565,16.89183565,1.08E-208,7.49E-210,4.35E-197
,,,4.108256881,16.83152871,16.83152871,3.34E-209,2.03E-210,1.01E-197
