Chi-squared,1.51511091,,,,,,,
Parameter,Value,Error,,,,,,
bg_a,32.70477083,3.95880628,,,,,,
bg_b,4.455616031,2.540830238,,,,,,
bg_c,-2.025033404,0.380361539,,,,,,
center_1,-0.002353106,0.004383311,,,,,,
area_1,165.9053934,5.243913948,,,,,,
FWHM_1,0.310397603,0.009969523,,,,,,
center_2,0.416494821,0.024300822,,,,,,
area_2,17.07873501,3.177434235,,,,,,
FWHM_2,0.278587676,0.051204291,,,,,,
center_3,1.015944692,0.021233864,,,,,,
area_3,8.180222698,1.811353947,,,,,,
FWHM_3,0.240844359,0.052340195,,,,,,
,,,,,,,,
x_data,y_data,yerr_data,x_fit,y_fit,y_bg,gaussian_1,gaussian_2,gaussian_3
,,,0.333211009,98.57353981,33.96459255,19.65705365,44.9518936,6.73E-09
,,,0.338165138,98.08696056,33.97993081,17.85082764,46.25620209,9.28E-09
,,,0.343119266,97.69781874,33.99516967,16.1876876,47.51496145,1.28E-08
,,,0.348073394,97.39154945,34.01030913,14.65877897,48.72246133,1.76E-08
,,,0.353027523,97.15399959,34.02534919,13.25553627,49.87311412,2.41E-08
,,,0.357981651,96.97148939,34.04028984,11.96970183,50.96149768,3.29E-08
,,,0.36293578,96.83086955,34.05513109,10.7933407,51.98239771,4.49E-08
,,,0.367889908,96.71957407,34.06987294,9.718851894,52.93084917,6.11E-08
,,,0.372844037,96.62566825,34.08451539,8.738976387,53.80217639,8.29E-08
,,,0.377798165,96.53789197,34.09905843,7.846801959,54.59203146,1.12E-07
,,,0.382752294,96.44569776,34.11350208,7.035765268,55.29643027,1.52E-07
,,,0.387706422,96.33928385,34.12784632,6.29965137,55.91178596,2.05E-07
,,,0.39266055,96.20962178,34.14209115,5.632590959,56.43493939,2.75E-07
,,,0.397614679,96.04847862,34.15623659,5.029055585,56.86318608,3.69E-07
,,,0.402568807,95.84843375,34.17028262,4.483851097,57.19429954,4.94E-07
,,,0.407522936,95.60289001,34.18422925,3.992109563,57.42655054,6.60E-07
,,,0.412477064,95.30607936,34.19807648,3.54927987,57.55872213,8.79E-07
,,,0.417431193,94.95306305,34.21182431,3.151117257,57.59012031,1.17E-06
,,,0.422385321,94.53972628,34.22547273,2.793671943,57.52058006,1.55E-06
,,,0.42733945,94.06276765,34.23902175,2.473277077,57.35046678,2.05E-06
,,,0.432293578,93.51968334,34.25247137,2.186536153,57.08067311,2.71E-06
,,,0.437247706,92.90874638,34.26582159,1.930310071,56.71261116,3.57E-06
,,,0.442201835,92.22898119,34.2790724,1.701703981,56.24820012,4.68E-06
,,,0.447155963,91.48013364,34.29222381,1.498054029,55.68984966,6.14E-06
,,,0.452110092,90.66263707,34.30527582,1.316914147,55.04043908,8.03E-06
,,,0.45706422,89.77757442,34.31822843,1.15604296,54.30329256,1.05E-05
